"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"GGN","GAMCO Global Gold, Natural Reources & Income Trust ","4.38","$611.75M","2005","n/a","n/a","https://old.nasdaq.com/symbol/ggn",
"GGN^B","GAMCO Global Gold, Natural Reources & Income Trust ","25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ggn^b",
"JOB","GEE Group Inc.","0.5742","$7.2M","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/job",
"GMO","General Moly, Inc","0.1999","$24.05M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/gmo",
"GSB","GlobalSCAPE, Inc.","11.83","$204.96M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/gsb",
"GSAT","Globalstar, Inc.","0.3902","$566.5M","2006","Consumer Services","Telecommunications Equipment","https://old.nasdaq.com/symbol/gsat",
"GLOW","Glowpoint, Inc.","0.9437","$4.81M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/glow",
"GORO","Gold Resource Corporation","3.83","$251.19M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/goro",
"GSV","Gold Standard Ventures Corporation","0.8916","$247.23M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/gsv",
"AUMN","Golden Minerals Company","0.2541","$26.91M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aumn",
"GSS","Golden Star Resources, Ltd","3.22","$350.55M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/gss",
"GV","Goldfield Corporation (The)","2.21","$54.19M","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/gv",
"GDP","Goodrich Petroleum Corporation","11.27","$138.66M","2017","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/gdp",
"GTE","Gran Tierra Energy Inc.","1.57","$598.13M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/gte",
"GPL","Great Panther Mining Limited","0.721","$217.46M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/gpl",
"SIM","Grupo Simec, S.A. de C.V.","9.59","$1.58B","1993","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/sim",
"AIM","Hemispherx BioPharma, Inc.","1.7698","$4.32M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/aim",
"HLM^","Hillman Group Capital Trust","35.89","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hlm^",
"HMG","HMG/Courtland Properties, Inc.","14","$14.19M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/hmg",
"HUSA","Houston American Energy Corporation","0.205","$12.9M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/husa",
"IBIO","iBio, Inc.","0.624","$15.07M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ibio",
"IBO","IBO (Listing Market - NYSE Amex Network B F)","24.84","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ibo",
"IEC","IEC Electronics Corp.","6.73","$69.55M","n/a","Technology","Electrical Products","https://old.nasdaq.com/symbol/iec",
"IMH","Impac Mortgage Holdings, Inc.","6.77","$143.4M","1997","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/imh",
"IMO","Imperial Oil Limited","27.59","$20.95B","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/imo",
"IOR","Income Opportunity Realty Investors, Inc.","13.37","$55.73M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/ior",
"IGC","India Globalization Capital Inc.","1.07","$42.28M","n/a","Technology","Electronic Components","https://old.nasdaq.com/symbol/igc",
"INFU","InfuSystems Holdings, Inc.","5.31","$105.05M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/infu",
"IHT","InnSuites Hospitality Trust","1.66","$15.49M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/iht",
"NSPR","InspireMD Inc.","3.28","$4.59M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/nspr",
"NSPR.WS","InspireMD Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nspr.ws",
"NSPR.WS.B","InspireMD Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nspr.ws.b",
"IDN","Intellicheck, Inc.","5.04","$80.04M","1999","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/idn",
"INS","Intelligent Systems Corporation","46.28","$409.62M","1992","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ins",
"THM","International Tower Hill Mines Ltd","0.5501","$103.18M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/thm",
"INTT","inTest Corporation","4.4","$46.68M","1997","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/intt",
"INUV","Inuvo, Inc","0.2952","$14.45M","n/a","Consumer Services","Advertising","https://old.nasdaq.com/symbol/inuv",
"VKI","Invesco Advantage Municipal Income Trust II","11.02","$489.19M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/vki",
"ISR","IsoRay, Inc.","0.3095","$20.84M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/isr",
"ISDR","Issuer Direct Corporation","10.965","$42.35M","n/a","Miscellaneous","Publishing","https://old.nasdaq.com/symbol/isdr",
"ITP","IT Tech Packaging, Inc.","0.532","$11.73M","n/a","Consumer Durables","Containers/Packaging","https://old.nasdaq.com/symbol/itp",
"KIQ","Kelso Technologies Inc","0.825","$38.92M","n/a","Capital Goods","Railroads","https://old.nasdaq.com/symbol/kiq",
"LTS","Ladenburg Thalmann Financial Services Inc","2.5","$371.38M","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/lts",
"LTS^A","Ladenburg Thalmann Financial Services Inc","24.85","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/lts^a",
"LTSH","Ladenburg Thalmann Financial Services Inc","26.1","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/ltsh",
"LTSK","Ladenburg Thalmann Financial Services Inc","25.257","n/a","2018","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/ltsk",
"LTSL","Ladenburg Thalmann Financial Services Inc","24.4108","n/a","2017","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/ltsl",
"LTSF","Ladenburg Thalmann Financial Services Inc.","24.9912","n/a","2018","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/ltsf",
"LGL","LGL Group, Inc. (The)","9.78","$47.86M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/lgl",
"LBY","Libbey, Inc.","2.7","$60.34M","1993","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/lby",
"LLEX","Lilis Energy, Inc.","0.3799","$34.9M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/llex",
"LCTX","Lineage Cell Therapeutics, Inc.","1","$149.64M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/lctx",
"MAG","MAG Silver Corporation","11.74","$1.01B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/mag",
"MHH","Mastech Digital, Inc","5.89","$64.99M","n/a","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/mhh",
"MTNB","Matinas Biopharma Holdings, Inc.","0.6437","$104.54M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mtnb",
"MMX","Maverix Metals Inc.","4.5","$485.77M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/mmx",
"MNI","McClatchy Company (The)","2.61","$20.69M","1988","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/mni",
"IPB","Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate","28.4582","n/a","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/ipb",
"MXC","Mexco Energy Corporation","4.99","$10.18M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mxc",
"MICR","Micron Solutions, Inc.","2.09","$6.03M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/micr",
"MLSS","Milestone Scientific, Inc.","0.7889","$37.46M","2015","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/mlss",
"MRIC","MRI Interventions, Inc.","4.95","$69.29M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mric",
"MYO","Myomo Inc.","0.7603","$13.03M","2017","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/myo",
"NNVC","NanoViricides, Inc.","0.1969","$15.14M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/nnvc",
"ATEST","NASDAQ TEST STOCK","25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atest",
"ATEST.A","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atest.a",
"ATEST.B","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atest.b",
"ATEST.C","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atest.c",
"NHC","National HealthCare Corporation","83.41","$1.28B","n/a","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/nhc",
"NAVB","Navidea Biopharmaceuticals, Inc.","0.7351","$13.28M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/navb",
"NTIP","Network-1 Technologies, Inc.","2.49","$60.15M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/ntip",
"NBW","Neuberger Berman California Municipal Fund Inc","13.81","$76.66M","2002","n/a","n/a","https://old.nasdaq.com/symbol/nbw",
"NHS","Neuberger Berman High Yield Strategies Fund","11.97","$233.9M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nhs",
"NML","Neuberger Berman MLP and Energy Income Fund Inc.","7.27","$411.91M","2013","n/a","n/a","https://old.nasdaq.com/symbol/nml",
"NBH","Neuberger Berman Municipal Fund Inc.","15","$282.06M","2002","n/a","n/a","https://old.nasdaq.com/symbol/nbh",
"NBO","Neuberger Berman New York Municipal Fund Inc.","12.19","$61.89M","2002","n/a","n/a","https://old.nasdaq.com/symbol/nbo",
"NRO","Neuberger Berman Real Estate Securities Income Fund, Inc.","5.54","$262.7M","2003","n/a","n/a","https://old.nasdaq.com/symbol/nro",
"GBR","New Concept Energy, Inc","1.84","$9.44M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/gbr",
"NEN","New England Realty Associates Limited Partnership","58.6143","$215.09M","n/a","Consumer Services","Building operators","https://old.nasdaq.com/symbol/nen",
"NGD","New Gold Inc.","1.24","$834.35M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/ngd",
"NXE","Nexgen Energy Ltd.","1.31","$466.05M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/nxe",
"NAK","Northern Dynasty Minerals, Ltd.","0.63","$239.27M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/nak",
"NOG","Northern Oil and Gas, Inc.","2.01","$801.1M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/nog",
"NBY","NovaBay Pharmaceuticals, Inc.","0.529","$13.33M","2007","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nby",
"NG","Novagold Resources Inc.","6.33","$2.07B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/ng",
"NRCG","NRC Group Holdings Corp.","12.43","$472.97M","2017","Basic Industries","Environmental Services","https://old.nasdaq.com/symbol/nrcg",
"NRCG.WS","NRC Group Holdings Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nrcg.ws",
"NTN","NTN Buzztime, Inc.","2.3","$6.63M","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/ntn",
"NES","Nuverra Environmental Solutions, Inc.","4.13","$64.88M","2017","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/nes",
"OCX","OncoCyte Corporation","2.14","$111.22M","2015","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/ocx",
"OGEN","Oragenics Inc.","0.637","$29.38M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ogen",
"PCG^A","Pacific Gas & Electric Co.","25.95","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^a",
"PCG^B","Pacific Gas & Electric Co.","24.3","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^b",
"PCG^C","Pacific Gas & Electric Co.","20.08","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^c",
"PCG^D","Pacific Gas & Electric Co.","20.7694","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^d",
"PCG^E","Pacific Gas & Electric Co.","21.4768","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^e",
"PCG^G","Pacific Gas & Electric Co.","19.63","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^g",
"PCG^H","Pacific Gas & Electric Co.","19.25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^h",
"PCG^I","Pacific Gas & Electric Co.","18.78","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^i",
"PTN","Palatin Technologies, Inc.","1.02","$231.58M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ptn",
"PZG","Paramount Gold Nevada Corp.","0.784","$20.79M","2015","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/pzg",
"PRK","Park National Corporation","98.42","$1.62B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/prk",
"PED","Pedevco Corp.","1.53","$82.43M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ped",
"PFNX","Pfenex Inc.","9.63","$304.28M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/pfnx",
"HNW","Pioneer Diversified High Income Trust","14.4","$119.99M","2007","n/a","n/a","https://old.nasdaq.com/symbol/hnw",
"PLAG","Planet Green Holdings Corp","3.68","$28.99M","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/plag",
"PLG","Platinum Group Metals Ltd.","1.68","$98.41M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/plg",
"PLYM","Plymouth Industrial REIT, Inc.","18.57","$162.58M","2017","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/plym",
"PLYM^A","Plymouth Industrial REIT, Inc.","26.61","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/plym^a",
"PLM","Polymet Mining Corp.","0.3544","$356.22M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/plm",
"PW","Power REIT","9.839","$18.43M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/pw",
"PW^A","Power REIT","26.2104","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pw^a",
"PLX","Protalix BioTherapeutics, Inc.","0.2153","$31.95M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/plx",
"RLGT","Radiant Logistics, Inc.","5.14","$255.3M","n/a","Transportation","Oil Refining/Marketing","https://old.nasdaq.com/symbol/rlgt",
"RFL","Rafael Holdings, Inc.","19.51","$307.86M","2018","Finance","Real Estate","https://old.nasdaq.com/symbol/rfl",
"UTG","Reaves Utility Income Fund","36.81","$1.79B","2004","n/a","n/a","https://old.nasdaq.com/symbol/utg",
"RHE","Regional Health Properties, Inc.","1.69","$2.85M","2017","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/rhe",
"RHE^A","Regional Health Properties, Inc.","5.6869","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rhe^a",
"RCG","RENN Fund, Inc.","1.55","$9.23M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rcg",
"RVP","Retractable Technologies, Inc.","0.901","$29.44M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/rvp",
"REI","Ring Energy, Inc.","1.62","$109.85M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/rei",
"RIF","RMR Real Estate Income Fund","20.15","$205.57M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rif",
"SACH","Sachem Capital Corp.","4.73","$103.45M","2017","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/sach",
"SCCB","Sachem Capital Corp.","26.14","n/a","2019","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/sccb",
"SNMP","Sanchez Midstream Partners LP","0.4223","$8.48M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/snmp",
"SAND          ","Sandstorm Gold Ltd","5.83","$1.04B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/sand",
"SEB","Seaboard Corporation","4200","$4.89B","1996","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/seb",
"SENS","Senseonics Holdings, Inc.","1.07","$217.39M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/sens",
"SVT","Servotronics, Inc.","10.2","$25.4M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/svt",
"SMTS","Sierra Metals Inc.","1.19","$193.84M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/smts",
"SIF","SIFCO Industries, Inc.","2.81","$16.11M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/sif",
"SVM","Silvercorp Metals Inc.","4.32","$734.45M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/svm",
"SILV","SilverCrest Metals Inc.","5.7","$522.48M","2018","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/silv",
"XPL","Solitario Zinc Corp.","0.3224","$18.74M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/xpl",
"SCE^B","Southern California Edison Company","21.75","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^b",
"SCE^C","Southern California Edison Company","21.7627","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^c",
"SCE^D","Southern California Edison Company","21.3","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^d",
"SCE^E","Southern California Edison Company","24.34","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^e",
"SGB","Southwest Georgia Financial Corporation","19.9867","$50.88M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/sgb",
"LOV","Spark Networks, Inc.","6.5","$84.42M","2017","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/lov",
"SRCI","SRC Energy Inc.","5.37","$1.31B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/srci",
"SDI","Standard Diversified Inc.","11.68","$196.66M","n/a","Consumer Non-Durables","Tobacco","https://old.nasdaq.com/symbol/sdi",
"STXS","Stereotaxis, Inc.","4.68","$278.09M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/stxs",
"SSY","SunLink Health Systems, Inc.","1.3","$9.08M","n/a","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/ssy",
"SDPI","Superior Drilling Products, Inc.","0.8867","$22.25M","2014","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/sdpi",
"SYN","Synthetic Biologics, Inc","0.537","$9.03M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/syn",
"TKAT","Takung Art Co., Ltd.","0.5793","$6.52M","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/tkat",
"TALO.WS","Talos Energy, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/talo.ws",
"TRX","Tanzanian Gold Corporation","0.8044","$119.68M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/trx",
"TGB","Taseko Mines Limited","0.493","$121.37M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/tgb",
"TGC","Tengasco, Inc.","0.79","$8.42M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tgc",
"GLU","The Gabelli Global Utility and Income Trust","18.3","$98.26M","2004","n/a","n/a","https://old.nasdaq.com/symbol/glu",
